,date,value
17,2020-04-04,115
18,2020-04-05,120
19,2020-04-06,115
20,2020-04-07,131
21,2020-04-08,127
22,2020-04-09,136
23,2020-04-10,131
24,2020-04-11,129
25,2020-04-12,122
26,2020-04-13,121
27,2020-04-14,120
28,2020-04-15,105
29,2020-04-16,125
30,2020-04-17,124
31,2020-04-18,119
32,2020-04-19,127
33,2020-04-20,120
34,2020-04-21,138
35,2020-04-22,135
36,2020-04-23,141
37,2020-04-24,136
38,2020-04-25,133
39,2020-04-26,153
40,2020-04-27,152
41,2020-04-28,146
42,2020-04-29,148
43,2020-04-30,142
44,2020-05-01,139
45,2020-05-02,130
46,2020-05-03,123
47,2020-05-04,125
