,date,value
24,2020-04-11,30
25,2020-04-12,29
26,2020-04-13,30
27,2020-04-14,27
28,2020-04-15,29
29,2020-04-16,30
30,2020-04-17,29
31,2020-04-18,27
32,2020-04-19,27
33,2020-04-20,24
34,2020-04-21,22
35,2020-04-22,22
36,2020-04-23,19
37,2020-04-24,17
38,2020-04-25,18
39,2020-04-26,16
40,2020-04-27,17
41,2020-04-28,13
42,2020-04-29,12
43,2020-04-30,8
44,2020-05-01,8
45,2020-05-02,9
46,2020-05-03,8
47,2020-05-04,7
48,2020-05-05,10
49,2020-05-06,5
50,2020-05-07,7
51,2020-05-08,6
52,2020-05-09,8
53,2020-05-10,7
54,2020-05-11,9
