Area code,date,value
E07000113,2020-02-03,1
E07000113,2020-03-12,2
E07000113,2020-03-13,3
E07000113,2020-03-15,4
E07000113,2020-03-16,5
E07000113,2020-03-17,7
E07000113,2020-03-18,9
E07000113,2020-03-19,10
E07000113,2020-03-20,12
E07000113,2020-03-22,15
E07000113,2020-03-24,17
E07000113,2020-03-25,22
E07000113,2020-03-26,27
E07000113,2020-03-27,34
E07000113,2020-03-28,39
E07000113,2020-03-29,43
E07000113,2020-03-30,50
E07000113,2020-03-31,57
E07000113,2020-04-01,62
E07000113,2020-04-02,70
E07000113,2020-04-03,78
E07000113,2020-04-04,82
E07000113,2020-04-05,87
E07000113,2020-04-06,97
E07000113,2020-04-07,111
E07000113,2020-04-08,118
E07000113,2020-04-09,121
E07000113,2020-04-10,138
E07000113,2020-04-11,144
E07000113,2020-04-12,147
E07000113,2020-04-13,153
E07000113,2020-04-14,157
E07000113,2020-04-15,169
E07000113,2020-04-16,184
E07000113,2020-04-17,199
E07000113,2020-04-18,204
E07000113,2020-04-19,206
E07000113,2020-04-20,213
E07000113,2020-04-21,220
E07000113,2020-04-22,223
E07000113,2020-04-23,232
E07000113,2020-04-24,237
E07000113,2020-04-25,240
E07000113,2020-04-26,242
E07000113,2020-04-27,244
E07000113,2020-04-28,251
E07000113,2020-04-29,255
E07000113,2020-04-30,264
E07000113,2020-05-01,271
E07000113,2020-05-02,276
E07000113,2020-05-03,277
E07000113,2020-05-04,282
E07000113,2020-05-05,288
E07000113,2020-05-07,290
E07000113,2020-05-08,292
E07000113,2020-05-09,293
E07000113,2020-05-10,293
