,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,211,-10.0,-7.0,,-18.0,-41.0,10.0,,,,,,
1,212,-14.0,-4.0,59.0,-21.0,-43.0,11.0,,,,,,
2,213,-17.0,-6.0,117.0,-9.0,-39.0,7.0,,,,,,
3,214,-9.0,4.0,92.0,6.0,-12.0,,,,,,,
4,215,7.0,-4.0,,9.0,-10.0,,,,,,,
5,216,4.0,-6.0,,-8.0,-43.0,9.0,,,,,,
6,217,-10.0,-11.0,33.0,-25.0,-45.0,12.0,-9.0,-14.0,,-35.0,-55.0,14.0
7,218,-4.0,-5.0,73.0,-18.0,-41.0,11.0,-8.0,-16.0,75.0,-40.0,-54.0,13.0
8,219,-5.0,-8.0,106.0,-5.0,-41.0,9.0,-15.0,-11.0,100.0,-39.0,-55.0,13.0
9,220,-10.0,-7.0,106.0,-15.0,-39.0,7.0,-28.0,-16.0,54.0,-38.0,-54.0,11.0
10,221,-5.0,6.0,136.0,8.0,-12.0,,-34.0,-18.0,33.0,-29.0,-23.0,3.0
11,222,12.0,-2.0,,9.0,-8.0,,-28.0,-20.0,38.0,-28.0,-20.0,3.0
12,223,11.0,1.0,,-13.0,-40.0,8.0,-3.0,-14.0,100.0,-32.0,-55.0,11.0
13,224,4.0,-6.0,76.0,-16.0,-40.0,9.0,-2.0,-12.0,,-38.0,-54.0,12.0
14,225,-2.0,-1.0,92.0,-15.0,-34.0,8.0,-6.0,-14.0,83.0,-38.0,-54.0,12.0
15,226,-7.0,-3.0,62.0,-17.0,-37.0,9.0,-13.0,-13.0,84.0,-39.0,-55.0,13.0
16,227,-8.0,-7.0,76.0,-13.0,-33.0,8.0,-21.0,-14.0,57.0,-32.0,-53.0,11.0
17,228,-5.0,2.0,88.0,2.0,-7.0,,-31.0,-21.0,21.0,-26.0,-22.0,4.0
18,229,5.0,-2.0,,-3.0,-7.0,,-27.0,-18.0,13.0,-28.0,-22.0,4.0
19,230,,,,,-36.0,9.0,,-15.0,,-31.0,-56.0,12.0
20,231,,,,,-32.0,8.0,,,,-31.0,-52.0,12.0
21,232,,,,,-30.0,8.0,,-18.0,,-33.0,-53.0,13.0
22,233,,,,,-32.0,7.0,-9.0,,,-34.0,-53.0,12.0
23,234,,,,,,8.0,-21.0,-14.0,,-33.0,-53.0,13.0
24,235,,,,,,,-30.0,-18.0,,-25.0,,5.0
25,236,,,,,,,-23.0,,,,,3.0
26,237,,,,,-31.0,7.0,,,,-23.0,-54.0,10.0
27,238,,,,,-34.0,10.0,,,,-35.0,-55.0,14.0
28,239,,,,,-28.0,9.0,,,,-29.0,-51.0,11.0
29,240,,,,,-31.0,9.0,-5.0,,,-33.0,-53.0,13.0
30,241,,,,,,8.0,-14.0,-14.0,,-26.0,-54.0,13.0
31,242,,,,,,,-21.0,-14.0,,-16.0,,4.0
32,243,,,,,,,-11.0,,,,,2.0
33,244,,,,,-34.0,7.0,,-16.0,,-24.0,-72.0,12.0
34,245,,,,,-30.0,7.0,,,,-31.0,-53.0,10.0
35,246,,,,,-31.0,9.0,-11.0,,,-37.0,-52.0,12.0
36,247,,,,,-30.0,7.0,-9.0,,,-34.0,-52.0,11.0
