,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18,64,5.0,2.0,,5.0,0.0,0.0
19,65,5.0,7.0,,4.0,2.0,0.0
20,66,7.0,5.0,,4.0,1.0,-1.0
21,67,10.0,8.0,38.0,6.0,4.0,
22,68,17.0,2.0,21.0,15.0,3.0,
23,69,3.0,6.0,,-4.0,0.0,1.0
24,70,-4.0,4.0,,0.0,1.0,1.0
25,71,0.0,3.0,,1.0,0.0,1.0
26,72,-3.0,9.0,,-6.0,-1.0,2.0
27,73,-2.0,14.0,,-5.0,-5.0,2.0
28,74,1.0,18.0,50.0,0.0,1.0,
29,75,8.0,15.0,37.0,-3.0,-3.0,
30,76,0.0,23.0,,-10.0,-9.0,4.0
31,77,-14.0,23.0,,-19.0,-14.0,8.0
32,78,-19.0,29.0,,-21.0,-22.0,10.0
33,79,-13.0,31.0,,-24.0,-26.0,11.0
34,80,-18.0,20.0,,-21.0,-26.0,11.0
35,81,-39.0,22.0,58.0,-22.0,-21.0,
36,82,-38.0,2.0,99.0,0.0,-29.0,
37,83,-50.0,2.0,,-38.0,-47.0,17.0
38,84,-72.0,-19.0,,-55.0,-62.0,
39,85,-75.0,-23.0,,-55.0,-68.0,
40,86,-78.0,-26.0,-22.0,-61.0,-70.0,
41,87,-78.0,-27.0,-43.0,-62.0,-68.0,
42,88,-83.0,-30.0,-48.0,-62.0,-55.0,
43,89,-81.0,-37.0,-34.0,-57.0,-56.0,
44,90,-73.0,-26.0,-26.0,-58.0,-72.0,
45,91,-74.0,-23.0,,-58.0,-72.0,
46,92,-76.0,-27.0,-20.0,-61.0,-72.0,
47,93,-76.0,-25.0,-24.0,-64.0,-72.0,
48,94,-78.0,-28.0,-36.0,-59.0,-70.0,
49,95,-82.0,-28.0,-39.0,-55.0,-55.0,
50,96,-81.0,-40.0,-30.0,-49.0,-53.0,
51,97,-75.0,-26.0,,-57.0,-71.0,
52,98,-73.0,-25.0,,-48.0,-72.0,
53,99,-74.0,-23.0,,-53.0,-72.0,
54,100,-75.0,-22.0,-27.0,-57.0,-71.0,
55,101,-77.0,-26.0,-23.0,-55.0,-75.0,
56,102,-80.0,-24.0,-39.0,-47.0,-56.0,
57,103,,-42.0,-47.0,-48.0,-57.0,
58,104,-79.0,-34.0,,-56.0,-79.0,
59,105,-71.0,-26.0,,-56.0,-71.0,
60,106,-71.0,-23.0,,-46.0,-72.0,
61,107,-74.0,-26.0,-20.0,-59.0,-72.0,
62,108,-74.0,-26.0,-19.0,-55.0,-70.0,
63,109,-77.0,-25.0,-29.0,-49.0,-54.0,
64,110,,-31.0,-15.0,-37.0,-52.0,
65,111,-69.0,-22.0,,-44.0,-70.0,
66,112,-71.0,-23.0,,-50.0,-70.0,
67,113,-70.0,-25.0,,-50.0,-70.0,
68,114,-70.0,-22.0,,-50.0,-69.0,
69,115,-70.0,-22.0,1.0,-49.0,-69.0,
70,116,-74.0,-23.0,-23.0,-40.0,-52.0,
71,117,,-31.0,-24.0,-38.0,-49.0,
72,118,-69.0,-21.0,,-50.0,-69.0,
73,119,-69.0,-23.0,,-51.0,-70.0,
74,120,-71.0,-24.0,-30.0,-52.0,-70.0,
75,121,-70.0,-19.0,-20.0,-52.0,-69.0,
76,122,-69.0,-23.0,-13.0,-46.0,-67.0,
77,123,-73.0,-20.0,-18.0,-39.0,-51.0,
