,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,9.0,6.0,29.0,4.0,1.0,0.0
19,65,9.0,7.0,32.0,3.0,2.0,0.0
20,66,10.0,6.0,21.0,3.0,2.0,0.0
21,67,6.0,5.0,3.0,5.0,3.0,0.0
22,68,10.0,4.0,24.0,16.0,4.0,-1.0
23,69,7.0,3.0,5.0,-1.0,2.0,1.0
24,70,4.0,4.0,6.0,-1.0,2.0,1.0
25,71,4.0,4.0,-7.0,-4.0,1.0,1.0
26,72,1.0,10.0,-6.0,-3.0,0.0,2.0
27,73,5.0,14.0,23.0,-2.0,-2.0,1.0
28,74,-2.0,12.0,13.0,-6.0,-1.0,2.0
29,75,2.0,13.0,30.0,-3.0,0.0,1.0
30,76,2.0,18.0,9.0,-10.0,-6.0,3.0
31,77,-8.0,19.0,12.0,-17.0,-11.0,6.0
32,78,-10.0,20.0,12.0,-20.0,-16.0,8.0
33,79,-9.0,24.0,45.0,-20.0,-21.0,9.0
34,80,-16.0,13.0,44.0,-23.0,-22.0,9.0
35,81,-37.0,11.0,27.0,-26.0,-20.0,9.0
36,82,-42.0,-6.0,65.0,-11.0,-22.0,7.0
37,83,-37.0,-6.0,-4.0,-41.0,-41.0,15.0
38,84,-67.0,-21.0,-18.0,-58.0,-58.0,22.0
39,85,-71.0,-23.0,-23.0,-64.0,-64.0,24.0
40,86,-73.0,-25.0,-28.0,-65.0,-67.0,26.0
41,87,-73.0,-24.0,-37.0,-66.0,-67.0,26.0
42,88,-80.0,-29.0,-38.0,-64.0,-54.0,18.0
43,89,-79.0,-38.0,-32.0,-56.0,-51.0,14.0
44,90,-70.0,-26.0,-18.0,-62.0,-68.0,24.0
45,91,-70.0,-23.0,-8.0,-61.0,-69.0,25.0
46,92,-71.0,-24.0,-26.0,-63.0,-68.0,25.0
47,93,-71.0,-23.0,-25.0,-64.0,-69.0,26.0
48,94,-73.0,-22.0,-37.0,-65.0,-68.0,26.0
49,95,-79.0,-28.0,-38.0,-62.0,-54.0,18.0
50,96,-78.0,-34.0,-23.0,-53.0,-49.0,13.0
51,97,-69.0,-25.0,-25.0,-62.0,-69.0,24.0
52,98,-69.0,-22.0,1.0,-56.0,-69.0,24.0
53,99,-69.0,-23.0,-15.0,-59.0,-69.0,24.0
54,100,-69.0,-20.0,-26.0,-62.0,-69.0,26.0
55,101,-71.0,-23.0,-23.0,-58.0,-72.0,26.0
56,102,-76.0,-22.0,-30.0,-55.0,-55.0,17.0
57,103,-79.0,-37.0,-29.0,-52.0,-49.0,14.0
58,104,-72.0,-33.0,-14.0,-60.0,-74.0,25.0
59,105,-69.0,-24.0,-10.0,-59.0,-68.0,24.0
60,106,-68.0,-20.0,2.0,-56.0,-68.0,24.0
61,107,-70.0,-24.0,-26.0,-60.0,-68.0,26.0
62,108,-71.0,-22.0,-25.0,-60.0,-67.0,26.0
63,109,-78.0,-28.0,-22.0,-59.0,-52.0,17.0
64,110,-76.0,-31.0,-11.0,-47.0,-45.0,13.0
65,111,-68.0,-25.0,-4.0,-57.0,-65.0,23.0
66,112,-69.0,-23.0,6.0,-56.0,-66.0,24.0
67,113,-69.0,-22.0,1.0,-56.0,-65.0,24.0
68,114,-69.0,-22.0,4.0,-56.0,-65.0,25.0
69,115,-69.0,-20.0,-4.0,-56.0,-65.0,25.0
70,116,-75.0,-23.0,-16.0,-54.0,-48.0,16.0
71,117,-74.0,-29.0,-7.0,-46.0,-43.0,12.0
72,118,-67.0,-24.0,-10.0,-57.0,-64.0,23.0
73,119,-66.0,-21.0,6.0,-55.0,-64.0,21.0
74,120,-69.0,-25.0,-30.0,-60.0,-64.0,24.0
75,121,-69.0,-19.0,-18.0,-55.0,-65.0,25.0
76,122,-70.0,-19.0,-9.0,-53.0,-63.0,24.0
77,123,-75.0,-22.0,-7.0,-45.0,-46.0,16.0
