,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,13.0,6.0,35.0,13.0,2.0,0.0
19,65,11.0,8.0,30.0,11.0,1.0,0.0
20,66,7.0,4.0,35.0,9.0,0.0,-1.0
21,67,10.0,8.0,17.0,7.0,1.0,0.0
22,68,27.0,6.0,40.0,18.0,4.0,-1.0
23,69,11.0,7.0,27.0,13.0,0.0,0.0
24,70,6.0,7.0,19.0,7.0,0.0,0.0
25,71,6.0,5.0,17.0,5.0,-1.0,1.0
26,72,1.0,10.0,14.0,5.0,-1.0,2.0
27,73,6.0,9.0,41.0,8.0,-2.0,1.0
28,74,5.0,9.0,26.0,4.0,-1.0,1.0
29,75,10.0,14.0,25.0,8.0,-2.0,1.0
30,76,7.0,21.0,24.0,-1.0,-4.0,2.0
31,77,-6.0,23.0,13.0,-8.0,-8.0,4.0
32,78,-7.0,18.0,27.0,-7.0,-15.0,7.0
33,79,-14.0,20.0,32.0,-10.0,-19.0,8.0
34,80,-19.0,8.0,40.0,-21.0,-20.0,8.0
35,81,-44.0,4.0,16.0,-29.0,-20.0,8.0
36,82,-52.0,-12.0,22.0,-33.0,-26.0,7.0
37,83,-42.0,-10.0,-6.0,-40.0,-39.0,13.0
38,84,-69.0,-28.0,-35.0,-55.0,-56.0,19.0
39,85,-74.0,-34.0,-36.0,-60.0,-64.0,23.0
40,86,-74.0,-34.0,-24.0,-60.0,-67.0,24.0
41,87,-76.0,-34.0,-31.0,-65.0,-67.0,24.0
42,88,-84.0,-42.0,-55.0,-70.0,-56.0,
43,89,-83.0,-47.0,-48.0,-70.0,-53.0,
44,90,-73.0,-34.0,-38.0,-66.0,-68.0,23.0
45,91,-75.0,-33.0,-44.0,-64.0,-69.0,23.0
46,92,-75.0,-36.0,-42.0,-65.0,-69.0,24.0
47,93,-77.0,-36.0,-49.0,-69.0,-69.0,25.0
48,94,-77.0,-35.0,-42.0,-68.0,-68.0,24.0
49,95,-83.0,-40.0,-48.0,-69.0,-57.0,
50,96,-81.0,-43.0,-36.0,-66.0,-53.0,
51,97,-72.0,-35.0,-35.0,-64.0,-68.0,22.0
52,98,-74.0,-34.0,-36.0,-60.0,-68.0,22.0
53,99,-76.0,-37.0,-51.0,-66.0,-69.0,24.0
54,100,-72.0,-30.0,-36.0,-60.0,-69.0,24.0
55,101,-77.0,-35.0,-34.0,-63.0,-73.0,25.0
56,102,-81.0,-36.0,-51.0,-68.0,-55.0,17.0
57,103,-85.0,-49.0,-54.0,-70.0,-54.0,
58,104,-76.0,-42.0,-28.0,-65.0,-72.0,23.0
59,105,-73.0,-34.0,-44.0,-62.0,-67.0,22.0
60,106,-73.0,-35.0,-36.0,-59.0,-67.0,24.0
61,107,-74.0,-32.0,-28.0,-58.0,-66.0,24.0
62,108,-74.0,-33.0,-28.0,-60.0,-66.0,23.0
63,109,-80.0,-36.0,-36.0,-64.0,-53.0,16.0
64,110,-78.0,-38.0,-22.0,-63.0,-49.0,
65,111,-70.0,-33.0,-17.0,-57.0,-65.0,21.0
66,112,-71.0,-30.0,-26.0,-54.0,-65.0,21.0
67,113,-71.0,-33.0,-25.0,-56.0,-65.0,22.0
68,114,-72.0,-30.0,-17.0,-57.0,-66.0,23.0
69,115,-73.0,-32.0,-28.0,-60.0,-64.0,23.0
70,116,-78.0,-34.0,-35.0,-60.0,-51.0,15.0
71,117,-78.0,-41.0,-42.0,-66.0,-48.0,
72,118,-69.0,-33.0,-37.0,-58.0,-64.0,21.0
73,119,-69.0,-30.0,-29.0,-54.0,-64.0,19.0
74,120,-71.0,-34.0,-35.0,-56.0,-64.0,23.0
75,121,-71.0,-29.0,-38.0,-60.0,-64.0,23.0
76,122,-73.0,-33.0,-36.0,-60.0,-63.0,23.0
77,123,-77.0,-35.0,-43.0,-63.0,-51.0,16.0
