,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,16.0,11.0,,7.0,0.0,-1.0
19,65,8.0,5.0,,4.0,1.0,0.0
20,66,7.0,5.0,,8.0,-1.0,0.0
21,67,4.0,-2.0,,5.0,2.0,
22,68,13.0,-2.0,,15.0,-2.0,
23,69,3.0,11.0,,10.0,-1.0,0.0
24,70,0.0,6.0,,3.0,-1.0,1.0
25,71,0.0,5.0,,1.0,0.0,1.0
26,72,-2.0,9.0,,-8.0,0.0,1.0
27,73,3.0,14.0,,7.0,-3.0,1.0
28,74,1.0,5.0,,-7.0,0.0,
29,75,12.0,9.0,,10.0,-4.0,
30,76,1.0,12.0,,2.0,-9.0,4.0
31,77,-11.0,17.0,,-12.0,-13.0,6.0
32,78,-10.0,22.0,,-21.0,-20.0,8.0
33,79,-9.0,20.0,,-16.0,-22.0,8.0
34,80,-15.0,10.0,,-17.0,-24.0,9.0
35,81,-41.0,10.0,,-24.0,-22.0,
36,82,-39.0,-11.0,,-13.0,-26.0,
37,83,-46.0,-8.0,,-34.0,-43.0,15.0
38,84,-76.0,-25.0,,-58.0,-59.0,
39,85,-77.0,-28.0,,-62.0,-64.0,
40,86,-80.0,-28.0,,-65.0,-66.0,
41,87,-78.0,-23.0,,-65.0,-67.0,
42,88,-86.0,-33.0,,-62.0,-56.0,
43,89,-83.0,-37.0,,-58.0,-52.0,
44,90,-78.0,-24.0,,-59.0,-70.0,
45,91,-76.0,-22.0,,-60.0,-70.0,
46,92,-74.0,-27.0,,-65.0,-71.0,
47,93,-77.0,-27.0,-46.0,-67.0,-70.0,
48,94,-80.0,-23.0,,-67.0,-70.0,
49,95,-84.0,-27.0,,-64.0,-54.0,
50,96,-79.0,-32.0,,-60.0,-51.0,
51,97,-72.0,-22.0,,-59.0,-69.0,
52,98,-76.0,-24.0,,-59.0,-71.0,
53,99,-77.0,-26.0,,-63.0,-71.0,
54,100,-75.0,-19.0,-49.0,-67.0,-70.0,
55,101,-76.0,-27.0,,-66.0,-74.0,
56,102,-81.0,-22.0,,-57.0,-55.0,
57,103,,-29.0,,-43.0,-51.0,
58,104,-77.0,-37.0,,-64.0,-78.0,
59,105,-72.0,-22.0,,-56.0,-71.0,
60,106,-71.0,-25.0,,-59.0,-70.0,
61,107,-75.0,-25.0,,-59.0,-69.0,
62,108,-73.0,-21.0,,-63.0,-69.0,
63,109,-80.0,-20.0,,-56.0,-52.0,
64,110,,-22.0,,-48.0,-46.0,
65,111,-70.0,-25.0,,-52.0,-67.0,
66,112,-72.0,-23.0,,-51.0,-68.0,
67,113,-69.0,-24.0,,-56.0,-67.0,
68,114,-69.0,-19.0,,-55.0,-66.0,
69,115,-71.0,-19.0,,-57.0,-67.0,
70,116,-76.0,-16.0,,-53.0,-51.0,
71,117,,-22.0,,-47.0,-44.0,
72,118,-66.0,-22.0,,-48.0,-66.0,
73,119,-68.0,-22.0,,-50.0,-67.0,
74,120,-74.0,-23.0,,-57.0,-66.0,
75,121,-72.0,-20.0,,-58.0,-65.0,
76,122,-73.0,-16.0,,-56.0,-67.0,
77,123,-77.0,-14.0,,-52.0,-50.0,
