,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,7.0,8.0,17.0,-4.0,-2.0,0.0
19,65,7.0,8.0,19.0,-6.0,-1.0,0.0
20,66,2.0,5.0,25.0,-4.0,-2.0,0.0
21,67,4.0,5.0,31.0,,1.0,
22,68,5.0,4.0,29.0,,1.0,
23,69,2.0,4.0,20.0,-4.0,1.0,0.0
24,70,5.0,7.0,20.0,-4.0,0.0,0.0
25,71,3.0,7.0,6.0,-2.0,-2.0,1.0
26,72,1.0,11.0,5.0,-8.0,0.0,1.0
27,73,-1.0,9.0,17.0,-5.0,-2.0,0.0
28,74,1.0,11.0,29.0,,0.0,
29,75,-2.0,10.0,-2.0,,-5.0,
30,76,0.0,18.0,12.0,-8.0,-4.0,2.0
31,77,-6.0,21.0,16.0,-12.0,-7.0,4.0
32,78,-12.0,20.0,20.0,-20.0,-14.0,6.0
33,79,-11.0,21.0,25.0,-21.0,-17.0,7.0
34,80,-20.0,9.0,32.0,-25.0,-17.0,7.0
35,81,-38.0,9.0,25.0,-28.0,-20.0,
36,82,-50.0,-7.0,25.0,,-24.0,
37,83,-40.0,-9.0,0.0,-40.0,-34.0,12.0
38,84,-73.0,-25.0,-12.0,-56.0,-52.0,
39,85,-78.0,-29.0,-30.0,-61.0,-60.0,
40,86,-78.0,-28.0,-11.0,-55.0,-62.0,
41,87,-80.0,-31.0,-15.0,-56.0,-66.0,
42,88,-87.0,-39.0,-46.0,-63.0,-59.0,
43,89,-88.0,-45.0,-42.0,,-54.0,
44,90,-78.0,-33.0,-30.0,-58.0,-68.0,
45,91,-76.0,-28.0,-20.0,-56.0,-67.0,
46,92,-79.0,-33.0,-26.0,-59.0,-68.0,
47,93,-80.0,-30.0,-40.0,-64.0,-68.0,
48,94,-80.0,-30.0,-20.0,-56.0,-66.0,
49,95,-83.0,-39.0,-31.0,-51.0,-59.0,
50,96,-85.0,-42.0,-35.0,,-54.0,
51,97,-76.0,-33.0,-30.0,-54.0,-67.0,
52,98,-74.0,-29.0,-16.0,-48.0,-67.0,
53,99,-79.0,-30.0,-39.0,-56.0,-68.0,
54,100,-75.0,-24.0,-28.0,-49.0,-67.0,
55,101,-79.0,-32.0,-24.0,-49.0,-71.0,
56,102,-82.0,-34.0,-31.0,-51.0,-58.0,
57,103,-87.0,-48.0,-52.0,,-54.0,
58,104,-80.0,-41.0,-20.0,-54.0,-72.0,
59,105,-76.0,-30.0,-18.0,-48.0,-65.0,
60,106,-77.0,-33.0,-20.0,-54.0,-64.0,
61,107,-75.0,-27.0,-16.0,-47.0,-64.0,
62,108,-76.0,-28.0,-20.0,-47.0,-63.0,
63,109,-80.0,-32.0,-25.0,-46.0,-51.0,
64,110,-82.0,-37.0,-12.0,,-49.0,
65,111,-72.0,-28.0,-2.0,-42.0,-59.0,
66,112,-73.0,-28.0,7.0,-41.0,-61.0,
67,113,-74.0,-27.0,-3.0,-45.0,-59.0,
68,114,-73.0,-26.0,-5.0,-41.0,-59.0,
69,115,-75.0,-25.0,-10.0,-43.0,-59.0,
70,116,-78.0,-27.0,-20.0,-45.0,-52.0,
71,117,-82.0,-36.0,-27.0,,-45.0,
72,118,-68.0,-29.0,-16.0,-46.0,-57.0,
73,119,-70.0,-26.0,-6.0,-38.0,-57.0,
74,120,-71.0,-27.0,-17.0,-48.0,-57.0,
75,121,-71.0,-23.0,-32.0,-43.0,-58.0,
76,122,-71.0,-24.0,-17.0,-46.0,-57.0,
77,123,-78.0,-29.0,-24.0,-47.0,-50.0,
