,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,9.0,2.0,27.0,16.0,1.0,0.0
19,65,6.0,2.0,17.0,30.0,1.0,0.0
20,66,8.0,0.0,28.0,25.0,1.0,0.0
21,67,3.0,5.0,8.0,26.0,4.0,
22,68,15.0,1.0,17.0,27.0,1.0,
23,69,6.0,0.0,12.0,17.0,0.0,1.0
24,70,3.0,3.0,14.0,12.0,-1.0,1.0
25,71,2.0,1.0,9.0,9.0,0.0,2.0
26,72,-1.0,6.0,6.0,13.0,-2.0,2.0
27,73,0.0,5.0,15.0,15.0,-3.0,2.0
28,74,2.0,8.0,27.0,28.0,-3.0,
29,75,6.0,7.0,18.0,22.0,-3.0,
30,76,2.0,13.0,14.0,11.0,-4.0,3.0
31,77,-10.0,14.0,14.0,5.0,-10.0,5.0
32,78,-15.0,13.0,13.0,-4.0,-14.0,7.0
33,79,-15.0,14.0,24.0,8.0,-17.0,8.0
34,80,-19.0,5.0,23.0,0.0,-19.0,9.0
35,81,-39.0,9.0,13.0,5.0,-21.0,
36,82,-42.0,-10.0,43.0,8.0,-28.0,
37,83,-38.0,-12.0,6.0,-24.0,-37.0,13.0
38,84,-67.0,-25.0,-17.0,-46.0,-56.0,20.0
39,85,-72.0,-30.0,-6.0,-45.0,-61.0,
40,86,-75.0,-34.0,-28.0,-45.0,-64.0,
41,87,-78.0,-35.0,-40.0,-49.0,-62.0,
42,88,-84.0,-37.0,-48.0,-49.0,-55.0,
43,89,-88.0,-46.0,-39.0,-44.0,-51.0,
44,90,-72.0,-35.0,-17.0,-46.0,-66.0,
45,91,-74.0,-32.0,-23.0,-46.0,-66.0,
46,92,-76.0,-34.0,-22.0,-51.0,-65.0,
47,93,-77.0,-34.0,-25.0,-51.0,-65.0,
48,94,-77.0,-34.0,-43.0,-50.0,-64.0,
49,95,-83.0,-34.0,-42.0,-42.0,-53.0,
50,96,-84.0,-42.0,-26.0,-34.0,-49.0,
51,97,-76.0,-34.0,-23.0,-46.0,-66.0,
52,98,-73.0,-31.0,-15.0,-40.0,-67.0,
53,99,-74.0,-30.0,-10.0,-42.0,-66.0,
54,100,-74.0,-30.0,-24.0,-38.0,-66.0,
55,101,-76.0,-35.0,-34.0,-44.0,-66.0,
56,102,-82.0,-34.0,-40.0,-37.0,-53.0,
57,103,,-46.0,-38.0,-37.0,-48.0,
58,104,-77.0,-41.0,-30.0,-46.0,-71.0,
59,105,-71.0,-31.0,-14.0,-39.0,-66.0,
60,106,-75.0,-32.0,-6.0,-38.0,-65.0,
61,107,-73.0,-32.0,-27.0,-38.0,-65.0,
62,108,-75.0,-34.0,-35.0,-42.0,-62.0,
63,109,-79.0,-31.0,-31.0,-33.0,-50.0,
64,110,-78.0,-36.0,-16.0,-24.0,-42.0,
65,111,-67.0,-31.0,-9.0,-33.0,-61.0,
66,112,-69.0,-30.0,-6.0,-37.0,-62.0,
67,113,-73.0,-32.0,-6.0,-34.0,-62.0,
68,114,-70.0,-30.0,-12.0,-25.0,-61.0,
69,115,-70.0,-31.0,-21.0,-33.0,-60.0,
70,116,-77.0,-30.0,-28.0,-27.0,-48.0,
71,117,-77.0,-36.0,-20.0,-26.0,-44.0,
72,118,-67.0,-29.0,-16.0,-32.0,-60.0,20.0
73,119,-67.0,-30.0,-13.0,-32.0,-62.0,
74,120,-70.0,-33.0,-27.0,-43.0,-61.0,
75,121,-67.0,-27.0,-26.0,-40.0,-61.0,
76,122,-70.0,-29.0,-27.0,-43.0,-59.0,
77,123,-75.0,-26.0,-28.0,-38.0,-48.0,
