,time,valueA,valueB,valueC,valueD,valueE,valueF
5,52,-2.0,-9.0,,,-25.0,
6,53,-24.0,-17.0,,,,
7,55,,,,,-23.0,
8,56,,,,,1.0,
9,57,,,,,-1.0,
10,58,,,,,-1.0,
11,59,,0.0,,,-4.0,
12,60,-16.0,-17.0,,,,
13,62,,,,,0.0,
14,63,,,,,3.0,
15,64,,,,,-3.0,
16,65,,,,,1.0,
17,66,,-2.0,,,0.0,
18,67,7.0,2.0,,,,
19,69,,,,,-3.0,
20,70,,,,,4.0,
21,71,,,,,3.0,
22,72,,,,,-4.0,
23,73,,9.0,,,-8.0,
24,74,-33.0,-11.0,,,,
25,76,,,,,-19.0,
26,77,-50.0,,,,-21.0,
27,78,-28.0,,,,-32.0,
28,79,-32.0,,,,-32.0,
29,80,-33.0,0.0,,,-29.0,
30,81,-62.0,-2.0,,,,
31,83,-54.0,,,,-41.0,
32,84,-78.0,,,-46.0,-56.0,
33,85,-73.0,-40.0,,-47.0,-61.0,
34,86,-75.0,-40.0,,-38.0,-59.0,
35,87,-77.0,-34.0,,-54.0,-60.0,
36,88,-85.0,-46.0,,,,
37,89,,-49.0,,,,
38,90,-78.0,-34.0,,-49.0,-63.0,
39,91,-78.0,-26.0,,-46.0,-65.0,
40,92,-75.0,-35.0,,-56.0,-65.0,
41,93,-82.0,-48.0,,-65.0,-64.0,
42,94,-75.0,-36.0,,-54.0,-59.0,
43,95,-84.0,-46.0,,,,
44,96,,-49.0,,,,
45,97,,,,-54.0,-60.0,
46,98,,,,-54.0,-60.0,
47,99,,,,-53.0,-62.0,
48,100,,,,-51.0,-64.0,
49,101,,,,-54.0,-62.0,
50,104,,,,-57.0,-67.0,
51,105,,,,-57.0,-61.0,
52,106,,,,-58.0,-64.0,
53,107,,,,-54.0,-63.0,
54,108,,,,-49.0,-59.0,
55,111,,,,-43.0,-58.0,
56,112,,,,-53.0,-60.0,
57,113,,,,-41.0,-60.0,
58,114,,,,-45.0,-60.0,
59,115,,,,-55.0,-55.0,
60,118,,,,-58.0,-57.0,
61,119,,,,-46.0,-61.0,
62,120,,,,-44.0,-57.0,
63,121,,,,-60.0,-61.0,
64,122,,,,-57.0,-58.0,
