,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,7.0,4.0,22.0,2.0,1.0,-1.0
19,65,5.0,6.0,33.0,5.0,1.0,0.0
20,66,3.0,5.0,15.0,0.0,0.0,0.0
21,67,-2.0,3.0,0.0,2.0,2.0,0.0
22,68,1.0,2.0,13.0,-4.0,2.0,-1.0
23,69,5.0,3.0,12.0,-3.0,0.0,1.0
24,70,1.0,5.0,3.0,-6.0,0.0,1.0
25,71,0.0,5.0,0.0,-5.0,0.0,1.0
26,72,0.0,11.0,-6.0,-1.0,-2.0,1.0
27,73,0.0,13.0,13.0,0.0,-3.0,1.0
28,74,-5.0,10.0,7.0,-4.0,-1.0,2.0
29,75,-4.0,10.0,21.0,-6.0,-4.0,1.0
30,76,2.0,16.0,24.0,-12.0,-8.0,4.0
31,77,-6.0,22.0,0.0,-21.0,-13.0,7.0
32,78,-10.0,24.0,12.0,-24.0,-20.0,9.0
33,79,-7.0,28.0,45.0,-23.0,-25.0,10.0
34,80,-16.0,13.0,48.0,-28.0,-27.0,11.0
35,81,-35.0,11.0,51.0,-32.0,-23.0,10.0
36,82,-41.0,-9.0,73.0,-29.0,-29.0,7.0
37,83,-32.0,-6.0,12.0,-43.0,-41.0,16.0
38,84,-63.0,-18.0,-3.0,-58.0,-57.0,23.0
39,85,-69.0,-21.0,-9.0,-63.0,-65.0,26.0
40,86,-70.0,-22.0,8.0,-65.0,-68.0,27.0
41,87,-71.0,-23.0,-19.0,-67.0,-69.0,28.0
42,88,-78.0,-27.0,-6.0,-65.0,-57.0,19.0
43,89,-78.0,-38.0,-6.0,-57.0,-54.0,14.0
44,90,-66.0,-25.0,16.0,-66.0,-70.0,26.0
45,91,-67.0,-20.0,6.0,-66.0,-71.0,26.0
46,92,-68.0,-25.0,-10.0,-66.0,-70.0,27.0
47,93,-69.0,-24.0,-17.0,-69.0,-71.0,28.0
48,94,-69.0,-24.0,-19.0,-67.0,-70.0,28.0
49,95,-75.0,-26.0,-7.0,-64.0,-56.0,18.0
50,96,-75.0,-34.0,0.0,-60.0,-52.0,14.0
51,97,-66.0,-25.0,5.0,-67.0,-71.0,26.0
52,98,-65.0,-20.0,14.0,-62.0,-71.0,26.0
53,99,-66.0,-24.0,-1.0,-64.0,-70.0,26.0
54,100,-66.0,-20.0,-14.0,-64.0,-71.0,27.0
55,101,-68.0,-25.0,-5.0,-65.0,-76.0,29.0
56,102,-73.0,-23.0,-3.0,-59.0,-57.0,18.0
57,103,-76.0,-37.0,-13.0,-57.0,-54.0,14.0
58,104,-71.0,-32.0,28.0,-70.0,-81.0,29.0
59,105,-62.0,-21.0,6.0,-63.0,-71.0,26.0
60,106,-65.0,-22.0,6.0,-62.0,-70.0,27.0
61,107,-64.0,-22.0,0.0,-63.0,-70.0,27.0
62,108,-67.0,-24.0,-7.0,-63.0,-70.0,28.0
63,109,-72.0,-24.0,13.0,-57.0,-52.0,18.0
64,110,-71.0,-29.0,21.0,-51.0,-48.0,13.0
65,111,-61.0,-23.0,29.0,-58.0,-68.0,25.0
66,112,-63.0,-20.0,19.0,-60.0,-68.0,26.0
67,113,-64.0,-20.0,25.0,-59.0,-68.0,26.0
68,114,-64.0,-19.0,20.0,-57.0,-68.0,26.0
69,115,-65.0,-19.0,14.0,-59.0,-67.0,26.0
70,116,-71.0,-21.0,16.0,-56.0,-50.0,17.0
71,117,-68.0,-29.0,7.0,-51.0,-47.0,13.0
72,118,-59.0,-22.0,27.0,-59.0,-67.0,24.0
73,119,-62.0,-21.0,4.0,-60.0,-67.0,23.0
74,120,-65.0,-23.0,-13.0,-63.0,-67.0,26.0
75,121,-64.0,-17.0,7.0,-58.0,-67.0,26.0
76,122,-65.0,-21.0,14.0,-59.0,-66.0,26.0
77,123,-70.0,-20.0,30.0,-51.0,-49.0,17.0
