,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,6.0,5.0,,7.0,0.0,0.0
19,65,4.0,6.0,,4.0,0.0,0.0
20,66,1.0,4.0,,4.0,0.0,0.0
21,67,-2.0,4.0,-2.0,0.0,1.0,0.0
22,68,1.0,3.0,,10.0,1.0,-1.0
23,69,-1.0,4.0,,-3.0,0.0,0.0
24,70,2.0,4.0,0.0,-5.0,0.0,1.0
25,71,-1.0,4.0,,-1.0,-2.0,1.0
26,72,-1.0,11.0,,-8.0,-3.0,2.0
27,73,-2.0,13.0,,-6.0,-5.0,2.0
28,74,-8.0,11.0,,-12.0,-1.0,3.0
29,75,-6.0,10.0,,-3.0,-4.0,2.0
30,76,-2.0,16.0,,-17.0,-10.0,4.0
31,77,-4.0,21.0,-2.0,-30.0,-14.0,7.0
32,78,-9.0,23.0,,-28.0,-22.0,10.0
33,79,-8.0,29.0,,-29.0,-25.0,10.0
34,80,-17.0,15.0,,-28.0,-27.0,11.0
35,81,-39.0,16.0,,-38.0,-20.0,10.0
36,82,-46.0,2.0,,-15.0,-24.0,
37,83,-38.0,-2.0,,-44.0,-43.0,16.0
38,84,-59.0,-13.0,-22.0,-60.0,-58.0,24.0
39,85,-63.0,-18.0,-20.0,-61.0,-65.0,26.0
40,86,-64.0,-17.0,-26.0,-64.0,-67.0,28.0
41,87,-68.0,-18.0,-51.0,-67.0,-67.0,27.0
42,88,-75.0,-23.0,-29.0,-61.0,-53.0,
43,89,-74.0,-29.0,,-52.0,-50.0,
44,90,-63.0,-20.0,-20.0,-60.0,-69.0,26.0
45,91,-61.0,-17.0,-28.0,-63.0,-69.0,27.0
46,92,-64.0,-18.0,-30.0,-62.0,-69.0,27.0
47,93,-65.0,-19.0,-30.0,-65.0,-69.0,28.0
48,94,-67.0,-18.0,-33.0,-64.0,-68.0,27.0
49,95,-74.0,-20.0,-22.0,-62.0,-54.0,
50,96,-71.0,-21.0,,-48.0,-49.0,
51,97,-63.0,-20.0,-29.0,-62.0,-69.0,26.0
52,98,-61.0,-14.0,-20.0,-58.0,-70.0,27.0
53,99,-61.0,-17.0,-14.0,-57.0,-70.0,27.0
54,100,-60.0,-9.0,-28.0,-62.0,-70.0,27.0
55,101,-65.0,-15.0,-11.0,-60.0,-74.0,28.0
56,102,-72.0,-12.0,-7.0,-55.0,-54.0,
57,103,-75.0,-27.0,,-45.0,-49.0,
58,104,-66.0,-26.0,,-62.0,-79.0,29.0
59,105,-60.0,-17.0,-17.0,-61.0,-69.0,27.0
60,106,-60.0,-15.0,-2.0,-57.0,-69.0,27.0
61,107,-62.0,-15.0,-14.0,-61.0,-69.0,28.0
62,108,-65.0,-16.0,-24.0,-61.0,-67.0,27.0
63,109,-74.0,-21.0,2.0,-47.0,-50.0,
64,110,-71.0,-26.0,,-33.0,-46.0,
65,111,-64.0,-22.0,,-52.0,-66.0,25.0
66,112,-63.0,-18.0,-5.0,-53.0,-66.0,26.0
67,113,-64.0,-21.0,-7.0,-53.0,-67.0,26.0
68,114,-64.0,-18.0,,-50.0,-67.0,27.0
69,115,-66.0,-16.0,5.0,-48.0,-65.0,25.0
70,116,-74.0,-18.0,,-45.0,-48.0,
71,117,-70.0,-22.0,,-26.0,-45.0,
72,118,-62.0,-20.0,,-50.0,-66.0,25.0
73,119,-62.0,-22.0,-17.0,-52.0,-66.0,24.0
74,120,-65.0,-23.0,-31.0,-56.0,-66.0,26.0
75,121,-64.0,-14.0,-22.0,-52.0,-65.0,27.0
76,122,-67.0,-18.0,4.0,-48.0,-65.0,25.0
77,123,-73.0,-17.0,,-38.0,-47.0,
