,time,valueA,valueB,valueC,valueD,valueE,valueF
18,64,9.0,8.0,26.0,-1.0,1.0,0.0
19,65,8.0,6.0,9.0,-2.0,1.0,0.0
20,66,6.0,5.0,5.0,2.0,1.0,0.0
21,67,-1.0,0.0,-12.0,-1.0,2.0,1.0
22,68,4.0,3.0,9.0,8.0,3.0,-1.0
23,69,2.0,3.0,2.0,-3.0,-1.0,1.0
24,70,2.0,5.0,0.0,-7.0,0.0,1.0
25,71,-1.0,5.0,-4.0,-8.0,0.0,1.0
26,72,11.0,12.0,-6.0,-7.0,-2.0,1.0
27,73,-3.0,13.0,2.0,-10.0,-4.0,2.0
28,74,-20.0,9.0,-29.0,-23.0,-2.0,3.0
29,75,-13.0,9.0,-1.0,-16.0,-4.0,2.0
30,76,-13.0,13.0,-11.0,-23.0,-13.0,5.0
31,77,-23.0,13.0,-25.0,-37.0,-20.0,9.0
32,78,-32.0,18.0,-23.0,-48.0,-28.0,11.0
33,79,-29.0,21.0,-2.0,-50.0,-32.0,12.0
34,80,-40.0,4.0,-5.0,-54.0,-34.0,14.0
35,81,-63.0,-5.0,-39.0,-67.0,-31.0,12.0
36,82,-61.0,-18.0,0.0,-62.0,-32.0,9.0
37,83,-53.0,-17.0,-37.0,-65.0,-51.0,18.0
38,84,-75.0,-26.0,-46.0,-78.0,-65.0,25.0
39,85,-80.0,-31.0,-51.0,-82.0,-71.0,28.0
40,86,-80.0,-34.0,-51.0,-83.0,-73.0,29.0
41,87,-82.0,-35.0,-52.0,-84.0,-74.0,31.0
42,88,-87.0,-39.0,-55.0,-85.0,-63.0,21.0
43,89,-84.0,-44.0,-37.0,-81.0,-60.0,16.0
44,90,-77.0,-37.0,-34.0,-82.0,-75.0,27.0
45,91,-78.0,-34.0,-36.0,-83.0,-76.0,28.0
46,92,-80.0,-34.0,-43.0,-84.0,-76.0,29.0
47,93,-80.0,-36.0,-49.0,-84.0,-76.0,30.0
48,94,-81.0,-35.0,-55.0,-84.0,-75.0,31.0
49,95,-86.0,-37.0,-58.0,-85.0,-62.0,21.0
50,96,-83.0,-41.0,-35.0,-81.0,-59.0,16.0
51,97,-77.0,-36.0,-35.0,-82.0,-75.0,27.0
52,98,-77.0,-31.0,-19.0,-83.0,-75.0,28.0
53,99,-79.0,-33.0,-34.0,-84.0,-75.0,28.0
54,100,-78.0,-31.0,-45.0,-84.0,-75.0,29.0
55,101,-80.0,-32.0,-34.0,-85.0,-79.0,31.0
56,102,-84.0,-33.0,-35.0,-84.0,-61.0,20.0
57,103,-84.0,-43.0,-24.0,-81.0,-57.0,16.0
58,104,-79.0,-42.0,-14.0,-86.0,-82.0,29.0
59,105,-76.0,-34.0,-25.0,-82.0,-75.0,28.0
60,106,-77.0,-31.0,-21.0,-83.0,-75.0,28.0
61,107,-77.0,-32.0,-38.0,-83.0,-75.0,29.0
62,108,-79.0,-32.0,-44.0,-83.0,-74.0,30.0
63,109,-84.0,-33.0,-30.0,-82.0,-58.0,19.0
64,110,-80.0,-37.0,-4.0,-77.0,-53.0,15.0
65,111,-74.0,-34.0,-8.0,-80.0,-73.0,26.0
66,112,-75.0,-31.0,-12.0,-81.0,-73.0,27.0
67,113,-76.0,-32.0,-16.0,-81.0,-73.0,27.0
68,114,-75.0,-30.0,-20.0,-81.0,-73.0,28.0
69,115,-77.0,-29.0,-10.0,-80.0,-72.0,28.0
70,116,-82.0,-30.0,-21.0,-81.0,-56.0,18.0
71,117,-78.0,-36.0,-19.0,-77.0,-53.0,15.0
72,118,-73.0,-34.0,-22.0,-79.0,-72.0,26.0
73,119,-74.0,-32.0,-29.0,-81.0,-72.0,25.0
74,120,-77.0,-34.0,-49.0,-82.0,-72.0,28.0
75,121,-76.0,-28.0,-38.0,-81.0,-72.0,28.0
76,122,-77.0,-29.0,-24.0,-79.0,-71.0,29.0
77,123,-82.0,-28.0,-21.0,-78.0,-54.0,18.0
