,date,value
81,2020-06-07,*
82,2020-06-08,*
83,2020-06-09,*
84,2020-06-10,*
85,2020-06-11,*
86,2020-06-12,*
87,2020-06-13,*
88,2020-06-14,*
89,2020-06-15,*
90,2020-06-16,*
91,2020-06-17,*
92,2020-06-18,*
93,2020-06-19,*
94,2020-06-20,*
95,2020-06-21,*
96,2020-06-22,*
97,2020-06-23,*
98,2020-06-24,*
99,2020-06-25,*
100,2020-06-26,*
101,2020-06-27,*
102,2020-06-28,*
103,2020-06-29,*
104,2020-06-30,*
105,2020-07-01,*
106,2020-07-02,*
107,2020-07-03,*
108,2020-07-04,*
109,2020-07-05,*
110,2020-07-06,*
111,2020-07-07,*
