,value,value
35,2020-04-11,2020-04-11
36,2020-04-12,2020-04-12
37,2020-04-13,2020-04-13
38,2020-04-14,2020-04-14
39,2020-04-15,2020-04-15
40,2020-04-16,2020-04-16
41,2020-04-17,2020-04-17
42,2020-04-18,2020-04-18
43,2020-04-19,2020-04-19
44,2020-04-20,2020-04-20
45,2020-04-21,2020-04-21
46,2020-04-22,2020-04-22
47,2020-04-23,2020-04-23
48,2020-04-24,2020-04-24
49,2020-04-25,2020-04-25
50,2020-04-26,2020-04-26
51,2020-04-27,2020-04-27
52,2020-04-28,2020-04-28
53,2020-04-29,2020-04-29
54,2020-04-30,2020-04-30
55,2020-05-01,2020-05-01
56,2020-05-02,2020-05-02
57,2020-05-03,2020-05-03
58,2020-05-04,2020-05-04
59,2020-05-05,2020-05-05
60,2020-05-06,2020-05-06
61,2020-05-07,2020-05-07
62,2020-05-08,2020-05-08
63,2020-05-09,2020-05-09
64,2020-05-10,2020-05-10
65,2020-05-11,2020-05-11
