,date,value
49,2020-04-25,700
50,2020-04-26,748
51,2020-04-27,771
52,2020-04-28,782
53,2020-04-29,813
54,2020-04-30,834
55,2020-05-01,866
56,2020-05-02,889
57,2020-05-03,898
58,2020-05-04,931
59,2020-05-05,946
60,2020-05-06,957
61,2020-05-07,973
62,2020-05-08,1001
63,2020-05-09,1035
64,2020-05-10,1050
65,2020-05-11,1078
66,2020-05-12,1102
67,2020-05-13,1123
68,2020-05-14,1142
69,2020-05-15,1152
70,2020-05-16,1181
71,2020-05-17,1189
72,2020-05-18,1200
73,2020-05-19,1206
74,2020-05-20,1216
75,2020-05-21,1218
76,2020-05-22,1223
77,2020-05-23,1223
78,2020-05-24,1224
79,2020-05-25,1245
