,date,value
17,2020-04-04,421
18,2020-04-05,458
19,2020-04-06,476
20,2020-04-07,534
21,2020-04-08,555
22,2020-04-09,563
23,2020-04-10,571
24,2020-04-11,590
25,2020-04-12,597
26,2020-04-13,583
27,2020-04-14,594
28,2020-04-15,598
29,2020-04-16,606
30,2020-04-17,580
31,2020-04-18,593
32,2020-04-19,593
33,2020-04-20,603
34,2020-04-21,583
35,2020-04-22,574
36,2020-04-23,564
37,2020-04-24,561
38,2020-04-25,557
39,2020-04-26,557
40,2020-04-27,557
41,2020-04-28,542
42,2020-04-29,555
43,2020-04-30,548
44,2020-05-01,538
45,2020-05-02,530
46,2020-05-03,526
47,2020-05-04,533
