,date,value
0,2020-03-07,0.0
1,2020-03-08,0.0
2,2020-03-09,5.0
3,2020-03-10,13.0
4,2020-03-11,19.0
5,2020-03-12,47.0
6,2020-03-13,69.0
7,2020-03-14,122.0
8,2020-03-15,153.0
9,2020-03-16,167.0
10,2020-03-17,190.0
11,2020-03-18,217.0
12,2020-03-19,266.0
13,2020-03-20,322.0
14,2020-03-21,373.0
15,2020-03-22,416.0
16,2020-03-23,499.0
17,2020-03-24,584.0
18,2020-03-25,719.0
19,2020-03-26,894.0
20,2020-03-27,1059.0
21,2020-03-28,1264.0
22,2020-03-29,1417.0
23,2020-03-30,1632.0
24,2020-03-31,1993.0
25,2020-04-01,2305.0
26,2020-04-02,2597.0
27,2020-04-03,2996.0
28,2020-04-04,3338.0
29,2020-04-05,3698.0
30,2020-04-06,3953.0
31,2020-04-07,4221.0
32,2020-04-08,4556.0
33,2020-04-09,4948.0
34,2020-04-10,5265.0
35,2020-04-11,5590.0
36,2020-04-12,5912.0
37,2020-04-13,6067.0
38,2020-04-14,6358.0
39,2020-04-15,6748.0
40,2020-04-16,7102.0
41,2020-04-17,7409.0
42,2020-04-18,7820.0
43,2020-04-19,8187.0
44,2020-04-20,8450.0
45,2020-04-21,8672.0
46,2020-04-22,9038.0
47,2020-04-23,9409.0
48,2020-04-24,9697.0
49,2020-04-25,10051.0
50,2020-04-26,10324.0
51,2020-04-27,10521.0
52,2020-04-28,10721.0
53,2020-04-29,11034.0
54,2020-04-30,11353.0
55,2020-05-01,11654.0
56,2020-05-02,11927.0
57,2020-05-03,12097.0
58,2020-05-04,12266.0
59,2020-05-05,12437.0
60,2020-05-06,12709.0
61,2020-05-07,12924.0
62,2020-05-08,13149.0
63,2020-05-09,13305.0
64,2020-05-10,13486.0
65,2020-05-11,13627.0
66,2020-05-12,13763.0
67,2020-05-13,13929.0
68,2020-05-14,14117.0
69,2020-05-15,14260.0
70,2020-05-16,14447.0
71,2020-05-17,14537.0
72,2020-05-18,14594.0
73,2020-05-19,14655.0
74,2020-05-20,14751.0
75,2020-05-21,14856.0
76,2020-05-22,14969.0
77,2020-05-23,15041.0
78,2020-05-24,15101.0
79,2020-05-25,15156.0
80,2020-05-26,15185.0
81,2020-05-27,15240.0
82,2020-05-28,15288.0
83,2020-05-29,15327.0
84,2020-05-30,15382.0
85,2020-05-31,15400.0
86,2020-06-01,15418.0
87,2020-06-02,15471.0
88,2020-06-03,15504.0
89,2020-06-04,15553.0
90,2020-06-05,15582.0
91,2020-06-06,15603.0
92,2020-06-07,15621.0
93,2020-06-08,15639.0
94,2020-06-09,15653.0
95,2020-06-10,15665.0
96,2020-06-11,15682.0
97,2020-06-12,15709.0
98,2020-06-13,15730.0
99,2020-06-14,15755.0
100,2020-06-15,18030.0
101,2020-06-16,18045.0
102,2020-06-17,18066.0
103,2020-06-18,18077.0
104,2020-06-19,18104.0
105,2020-06-20,18130.0
106,2020-06-21,18156.0
