,date,value
0,2020-03-02,1
1,2020-03-03,0
2,2020-03-04,2
3,2020-03-05,3
4,2020-03-06,5
5,2020-03-07,5
6,2020-03-08,2
7,2020-03-09,5
8,2020-03-10,4
9,2020-03-11,9
10,2020-03-12,24
11,2020-03-13,25
12,2020-03-14,36
13,2020-03-15,32
14,2020-03-16,18
15,2020-03-17,24
16,2020-03-18,32
17,2020-03-19,39
18,2020-03-20,56
19,2020-03-21,51
20,2020-03-22,43
21,2020-03-23,83
22,2020-03-24,85
23,2020-03-25,135
24,2020-03-26,175
25,2020-03-27,165
26,2020-03-28,186
27,2020-03-29,139
28,2020-03-30,179
29,2020-03-31,430
30,2020-04-01,317
31,2020-04-02,292
32,2020-04-03,399
33,2020-04-04,344
34,2020-04-05,361
35,2020-04-06,255
36,2020-04-07,268
37,2020-04-08,336
38,2020-04-09,392
39,2020-04-10,318
40,2020-04-11,315
41,2020-04-12,322
42,2020-04-13,155
43,2020-04-14,291
44,2020-04-15,390
45,2020-04-16,354
46,2020-04-17,307
47,2020-04-18,411
48,2020-04-19,367
49,2020-04-20,263
50,2020-04-21,222
51,2020-04-22,366
52,2020-04-23,371
53,2020-04-24,288
54,2020-04-25,354
55,2020-04-26,273
56,2020-04-27,197
57,2020-04-28,200
58,2020-04-29,313
59,2020-04-30,319
60,2020-05-01,301
61,2020-05-02,273
62,2020-05-03,170
63,2020-05-04,169
64,2020-05-05,171
65,2020-05-06,272
66,2020-05-07,215
67,2020-05-08,225
68,2020-05-09,156
69,2020-05-10,181
70,2020-05-11,141
71,2020-05-12,136
72,2020-05-13,166
73,2020-05-14,188
74,2020-05-15,143
75,2020-05-16,187
76,2020-05-17,90
77,2020-05-18,57
78,2020-05-19,61
79,2020-05-20,96
80,2020-05-21,105
81,2020-05-22,113
82,2020-05-23,72
83,2020-05-24,60
84,2020-05-25,55
85,2020-05-26,29
86,2020-05-27,55
87,2020-05-28,48
88,2020-05-29,39
89,2020-05-30,55
90,2020-05-31,18
91,2020-06-01,18
92,2020-06-02,53
93,2020-06-03,33
94,2020-06-04,49
95,2020-06-05,29
96,2020-06-06,21
97,2020-06-07,18
98,2020-06-08,18
99,2020-06-09,14
100,2020-06-10,12
101,2020-06-11,17
102,2020-06-12,27
103,2020-06-13,21
104,2020-06-14,25
105,2020-06-15,29
106,2020-06-16,15
107,2020-06-17,21
108,2020-06-18,11
109,2020-06-19,27
110,2020-06-20,26
111,2020-06-21,26
112,2020-06-22,14
113,2020-06-23,12
114,2020-06-24,9
115,2020-06-25,5
116,2020-06-26,17
117,2020-06-27,15
118,2020-06-28,8
119,2020-06-29,5
120,2020-06-30,10
121,2020-07-01,8
122,2020-07-02,5
123,2020-07-03,12
124,2020-07-04,11
125,2020-07-05,9
126,2020-07-06,4
127,2020-07-07,2
128,2020-07-08,7
129,2020-07-09,6
130,2020-07-10,18
131,2020-07-11,7
132,2020-07-12,19
133,2020-07-13,6
134,2020-07-14,3
135,2020-07-15,5
136,2020-07-16,11
137,2020-07-17,17
138,2020-07-18,21
139,2020-07-19,23
140,2020-07-20,7
141,2020-07-21,22
142,2020-07-22,10
143,2020-07-23,16
144,2020-07-24,20
145,2020-07-25,27
146,2020-07-26,4
147,2020-07-27,3
148,2020-07-28,4
149,2020-07-29,22
150,2020-07-30,17
151,2020-07-31,30
152,2020-08-01,18
153,2020-08-02,31
154,2020-08-03,18
155,2020-08-04,23
156,2020-08-05,64
157,2020-08-06,66
158,2020-08-07,43
159,2020-08-08,60
160,2020-08-09,48
161,2020-08-10,29
162,2020-08-11,52
163,2020-08-12,47
164,2020-08-13,47
165,2020-08-14,65
166,2020-08-15,51
167,2020-08-16,43
168,2020-08-17,26
169,2020-08-18,49
170,2020-08-19,50
171,2020-08-20,77
172,2020-08-21,71
173,2020-08-22,123
174,2020-08-23,83
175,2020-08-24,66
