"Figure 1: Cumulative number of deaths involving COVID-19 by date of registration, Scotland, 2020",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Count,,,,,,,,,,,,,
3/16/2020,0,,,,,,,,,,,,,
3/17/2020,2,,,,,,,,,,,,,
3/18/2020,5,,,,,,,,,,,,,
3/19/2020,6,,,,,,,,,,,,,
3/20/2020,10,,,,,,,,,,,,,
3/21/2020,10,,,,,,,,,,,,,
3/22/2020,10,,,,,,,,,,,,,
3/23/2020,12,,,,,,,,,,,,,
3/24/2020,14,,,,,,,,,,,,,
3/25/2020,15,,,,,,,,,,,,,
3/26/2020,30,,,,,,,,,,,,,
3/27/2020,65,,,,,,,,,,,,,
3/28/2020,72,,,,,,,,,,,,,
3/29/2020,72,,,,,,,,,,,,,
3/30/2020,115,,,,,,,,,,,,,
3/31/2020,165,,,,,,,,,,,,,
4/1/2020,214,,,,,,,,,,,,,
4/2/2020,277,,,,,,,,,,,,,
4/3/2020,348,,,,,,,,,,,,,
4/4/2020,350,,,,,,,,,,,,,
4/5/2020,354,,,,,,,,,,,,,
4/6/2020,476,,,,,,,,,,,,,
4/7/2020,593,,,,,,,,,,,,,
4/8/2020,718,,,,,,,,,,,,,
4/9/2020,819,,,,,,,,,,,,,
4/10/2020,904,,,,,,,,,,,,,
4/11/2020,954,,,,,,,,,,,,,
4/12/2020,964,,,,,,,,,,,,,
4/13/2020,"1,041",,,,,,,,,,,,,
4/14/2020,"1,185",,,,,,,,,,,,,
4/15/2020,"1,334",,,,,,,,,,,,,
4/16/2020,"1,462",,,,,,,,,,,,,
4/17/2020,"1,572",,,,,,,,,,,,,
4/18/2020,"1,597",,,,,,,,,,,,,
4/19/2020,"1,614",,,,,,,,,,,,,
4/20/2020,"1,738",,,,,,,,,,,,,
4/21/2020,"1,898",,,,,,,,,,,,,
4/22/2020,"2,019",,,,,,,,,,,,,
4/23/2020,"2,134",,,,,,,,,,,,,
4/24/2020,"2,218",,,,,,,,,,,,,
4/25/2020,"2,258",,,,,,,,,,,,,
4/26/2020,"2,272",,,,,,,,,,,,,
4/27/2020,"2,380",,,,,,,,,,,,,
4/28/2020,"2,514",,,,,,,,,,,,,
4/29/2020,"2,626",,,,,,,,,,,,,
4/30/2020,"2,699",,,,,,,,,,,,,
5/1/2020,"2,774",,,,,,,,,,,,,
5/2/2020,"2,788",,,,,,,,,,,,,
5/3/2020,"2,795",,,,,,,,,,,,,
,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,
