"Figure 6 : Excess Deaths  by underlying cause of death1, weeks 14 to 18, 2020",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Week number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,
Resgistered deaths: five year average,,,,,,,,,,,,,,,,,,,,
Cancer,328,359,321,326,315,322,328,319,303,324,314,295,309,292,301,296,305,310,,
Dementia / Alzheimers,148,173,161,152,156,148,137,137,134,134,126,118,120,118,113,113,109,119,,
Circulatory (heart disease and stroke),324,418,369,345,326,315,327,323,304,332,306,302,301,286,299,283,292,276,,
Respiratory,205,268,228,203,194,185,181,191,172,158,162,157,136,143,139,125,128,125,,
Other,271,341,304,291,289,284,286,277,252,281,261,249,252,260,248,250,253,250,,
All,"1,276","1,560","1,382","1,317","1,280","1,254","1,259","1,247","1,165","1,229","1,169","1,120","1,118","1,098","1,100","1,067","1,087","1,079",,
Registered deaths: 2020,,,,,,,,,,,,,,,,,,,,
Cancer,308,378,331,310,326,335,322,318,301,296,311,337,273,375,341,334,302,306,,
Dementia / Alzheimers,147,211,155,137,155,133,120,115,117,164,130,123,135,203,215,195,180,162,,
Circulatory (heart disease and stroke),312,382,330,298,282,339,281,305,323,313,318,289,270,390,352,294,320,326,,
Respiratory,162,229,192,153,139,120,137,132,131,128,119,143,113,160,141,101,105,106,,
COVID-19,0,0,0,0,0,0,0,0,0,0,0,10,53,256,588,637,633,495,,
Other,232,367,314,328,286,289,302,292,299,306,278,294,235,360,341,355,296,278,,
All,"1,161","1,567","1,322","1,226","1,188","1,216","1,162","1,162","1,171","1,207","1,156","1,196","1,079","1,744","1,978","1,916","1,836","1,673",,
Difference,,,,,,,,,,,,,,,,,,,,
Cancer,-20,19,10,-16,11,13,-6,-1,-2,-28,-3,42,-36,83,40,38,-3,-4,,
Dementia / Alzheimers,-1,38,-6,-15,-1,-15,-17,-22,-17,30,4,5,15,85,102,82,71,43,,
Circulatory (heart disease and stroke),-12,-36,-39,-47,-44,24,-46,-18,19,-19,12,-13,-31,104,53,11,28,50,,
Respiratory,-43,-39,-36,-50,-55,-65,-44,-59,-41,-30,-43,-14,-23,17,2,-24,-23,-19,,
COVID-19,0,0,0,0,0,0,0,0,0,0,0,10,53,256,588,637,633,495,,
Other,-39,26,10,37,-3,5,16,15,47,25,17,45,-17,100,93,105,43,28,,
All,-115,7,-60,-91,-92,-38,-97,-85,6,-22,-13,76,-39,646,878,849,749,594,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,,,,,,,,
1) The ICD 10 codes for disease categories are as follows:,,,,,,,,,,,,,,,,,,,,
Cancer: C00-C97,,,,,,,,,,,,,,,,,,,,
"Dementia and Alzheimer's: F01, F03 and G30",,,,,,,,,,,,,,,,,,,,
Circulatory: I00:I99,,,,,,,,,,,,,,,,,,,,
Respiratory: J00-J99,,,,,,,,,,,,,,,,,,,,
COVID-19: U07,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
© Crown copyright 2020,,,,,,,,,,,,,,,,,,,,
