"Figure 8: Deaths involving COVID-19, date of death vs date of registration",,,,,,,,,
,,,,,,,,,
date,Cumulative deaths by date of death,Cumulative deaths by date of registration,,,,,,,
,,,,,,,,,
,,,,,,,,,
3/12/2020,2,1,,,,,,,
3/13/2020,2,0,,,,,,,
3/14/2020,4,0,,,,,,,
3/15/2020,5,0,,,,,,,
3/16/2020,8,0,,,,,,,
3/17/2020,10,2,,,,,,,
3/18/2020,14,5,,,,,,,
3/19/2020,18,6,,,,,,,
3/20/2020,23,10,,,,,,,
3/21/2020,30,10,,,,,,,
3/22/2020,36,10,,,,,,,
3/23/2020,43,12,,,,,,,
3/24/2020,55,14,,,,,,,
3/25/2020,77,15,,,,,,,
3/26/2020,100,30,,,,,,,
3/27/2020,123,65,,,,,,,
3/28/2020,160,72,,,,,,,
3/29/2020,187,72,,,,,,,
3/30/2020,238,115,,,,,,,
3/31/2020,296,165,,,,,,,
4/1/2020,361,214,,,,,,,
4/2/2020,422,277,,,,,,,
4/3/2020,498,348,,,,,,,
4/4/2020,554,350,,,,,,,
4/5/2020,640,354,,,,,,,
4/6/2020,729,476,,,,,,,
4/7/2020,813,593,,,,,,,
4/8/2020,904,718,,,,,,,
4/9/2020,"1,012",819,,,,,,,
4/10/2020,"1,110",904,,,,,,,
4/11/2020,"1,205",954,,,,,,,
4/12/2020,"1,279",964,,,,,,,
4/13/2020,"1,358","1,041",,,,,,,
4/14/2020,"1,458","1,185",,,,,,,
4/15/2020,"1,552","1,334",,,,,,,
4/16/2020,"1,653","1,462",,,,,,,
4/17/2020,"1,738","1,572",,,,,,,
4/18/2020,"1,833","1,597",,,,,,,
4/19/2020,"1,922","1,614",,,,,,,
4/20/2020,"2,027","1,738",,,,,,,
4/21/2020,"2,123","1,898",,,,,,,
4/22/2020,"2,210","2,019",,,,,,,
4/23/2020,"2,282","2,134",,,,,,,
4/24/2020,"2,356","2,218",,,,,,,
4/25/2020,"2,434","2,258",,,,,,,
4/26/2020,"2,511","2,272",,,,,,,
4/27/2020,,"2,380",,,,,,,
4/28/2020,,"2,514",,,,,,,
4/29/2020,,"2,626",,,,,,,
4/30/2020,,"2,699",,,,,,,
5/1/2020,,"2,774",,,,,,,
5/2/2020,,"2,788",,,,,,,
5/3/2020,,"2,795",,,,,,,
,,,,,,,,,
© Crown copyright 2020,,,,,,,,,
