,,all_deaths_hospital,all_deaths_carehome,all_deaths_non-institution,all_deaths_other,all_deaths_total,covid_deaths_hospital,covid_deaths_carehome,covid_deaths_non-institution,covid_deaths_other,covid_deaths_total,ratio_hospital_death_covid,ratio_carehome_death_covid,ratio_noninst_death_covid,ratio_total_death_covid
S12000033,Aberdeen City,425,227,229,0,881,27,32,4,0,63,0.064,0.141,0.017,0.072
S12000034,Aberdeenshire,461,308,299,2,1070,32,45,11,0,88,0.069,0.146,0.037,0.082
S12000041,Angus,234,152,180,0,566,14,31,4,0,49,0.060,0.204,0.022,0.087
S12000035,Argyll and Bute,197,100,174,0,471,26,21,8,0,55,0.132,0.210,0.046,0.117
S12000036,City of Edinburgh,793,679,486,0,1958,108,157,13,0,278,0.136,0.231,0.027,0.142
S12000005,Clackmannanshire,96,85,70,2,253,8,17,1,0,26,0.083,0.200,0.014,0.103
S12000006,Dumfries and Galloway,389,160,237,0,786,31,8,1,0,40,0.080,0.050,0.004,0.051
S12000042,Dundee City,376,180,232,0,788,50,46,11,0,107,0.133,0.256,0.047,0.136
S12000008,East Ayrshire,287,125,200,1,613,25,19,5,0,49,0.087,0.152,0.025,0.080
S12000045,East Dunbartonshire,197,180,134,0,511,24,40,2,0,66,0.122,0.222,0.015,0.129
S12000010,East Lothian,206,148,119,0,473,20,40,4,0,64,0.097,0.270,0.034,0.135
S12000011,East Renfrewshire,158,125,106,1,390,31,25,2,0,58,0.196,0.200,0.019,0.149
S12000014,Falkirk,324,218,229,0,771,39,38,9,0,86,0.120,0.174,0.039,0.112
S12000015,Fife,741,387,480,0,1608,74,54,15,0,143,0.100,0.140,0.031,0.089
S12000046,Glasgow City,1224,785,806,5,2820,264,169,19,0,452,0.216,0.215,0.024,0.160
S12000017,Highland,421,258,324,0,1003,25,3,5,0,33,0.059,0.012,0.015,0.033
S12000018,Inverclyde,240,154,152,0,546,57,31,11,0,99,0.238,0.201,0.072,0.181
S12000019,Midlothian,180,131,93,0,404,29,42,4,0,75,0.161,0.321,0.043,0.186
S12000020,Moray,165,74,142,0,381,2,2,4,0,8,0.012,0.027,0.028,0.021
S12000013,Na h-Eileanan Siar,55,49,39,0,143,0,0,0,0,0,0.000,0.000,0.000,0.000
S12000021,North Ayrshire,346,174,206,1,727,30,29,9,0,68,0.087,0.167,0.044,0.094
S12000044,North Lanarkshire,740,348,535,9,1632,114,65,15,1,195,0.154,0.187,0.028,0.119
S12000023,Orkney Islands,10,10,66,0,86,2,0,0,0,2,0.200,0.000,0.000,0.023
S12000024,Perth and Kinross,319,212,187,18,736,28,11,4,0,43,0.088,0.052,0.021,0.058
S12000038,Renfrewshire,370,309,239,5,923,69,72,8,0,149,0.186,0.233,0.033,0.161
S12000026,Scottish Borders,270,91,139,49,549,38,3,4,0,45,0.141,0.033,0.029,0.082
S12000027,Shetland Islands,25,37,19,0,81,2,5,0,0,7,0.080,0.135,0.000,0.086
S12000028,South Ayrshire,293,200,167,0,660,32,38,5,0,75,0.109,0.190,0.030,0.114
S12000029,South Lanarkshire,659,440,469,3,1571,85,84,21,0,190,0.129,0.191,0.045,0.121
S12000030,Stirling,155,108,108,1,372,25,14,5,0,44,0.161,0.130,0.046,0.118
S12000039,West Dunbartonshire,194,130,168,0,492,41,41,4,0,86,0.211,0.315,0.024,0.175
S12000040,West Lothian,327,145,223,0,695,31,13,8,0,52,0.095,0.090,0.036,0.075
