,"Care
Home",Home / Non-institution,Hospital,"Other
institution3",All locations
Aberdeen City,32,4,27,0,63
Aberdeenshire,45,11,32,0,88
Angus,31,4,14,0,49
Argyll and Bute,21,8,26,0,55
City of Edinburgh,157,13,108,0,278
Clackmannanshire,17,1,8,0,26
Dumfries and Galloway,8,1,31,0,40
Dundee City,46,11,50,0,107
East Ayrshire,19,5,25,0,49
East Dunbartonshire,40,2,24,0,66
East Lothian,40,4,20,0,64
East Renfrewshire,25,2,31,0,58
Falkirk,38,9,39,0,86
Fife,54,15,74,0,143
Glasgow City,169,19,264,0,452
Highland,3,5,25,0,33
Inverclyde,31,11,57,0,99
Midlothian,42,4,29,0,75
Moray,2,4,2,0,8
Na h-Eileanan Siar,0,0,0,0,0
North Ayrshire,29,9,30,0,68
North Lanarkshire,65,15,114,1,195
Orkney Islands,0,0,2,0,2
Perth and Kinross,11,4,28,0,43
Renfrewshire,72,8,69,0,149
Scottish Borders,3,4,38,0,45
Shetland Islands,5,0,2,0,7
South Ayrshire,38,5,32,0,75
South Lanarkshire,84,21,85,0,190
Stirling,14,5,25,0,44
West Dunbartonshire,41,4,41,0,86
West Lothian,13,8,31,0,52
