LAD13CD,LAD13CDO,LAD13NM,NUTS315CD,NUTS315NM,NUTS215CD,NUTS215NM,NUT115CD,NUTS115NM,FID
E06000001,00EB,Hartlepool,UKC11,Hartlepool and Stockton-on-Tees,UKC1,Tees Valley and Durham,UKC,North East (England),1
E06000002,00EC,Middlesbrough,UKC12,South Teesside,UKC1,Tees Valley and Durham,UKC,North East (England),2
E06000003,00EE,Redcar and Cleveland,UKC12,South Teesside,UKC1,Tees Valley and Durham,UKC,North East (England),3
E06000004,00EF,Stockton-on-Tees,UKC11,Hartlepool and Stockton-on-Tees,UKC1,Tees Valley and Durham,UKC,North East (England),4
E06000005,00EH,Darlington,UKC13,Darlington,UKC1,Tees Valley and Durham,UKC,North East (England),5
E06000006,00ET,Halton,UKD71,East Merseyside,UKD7,Merseyside,UKD,North West (England),6
E06000007,00EU,Warrington,UKD61,Warrington,UKD6,Cheshire,UKD,North West (England),7
E06000008,00EX,Blackburn with Darwen,UKD41,Blackburn with Darwen,UKD4,Lancashire,UKD,North West (England),8
E06000009,00EY,Blackpool,UKD42,Blackpool,UKD4,Lancashire,UKD,North West (England),9
E06000010,00FA,"Kingston upon Hull, City of",UKE11,"Kingston upon Hull, City of",UKE1,East Yorkshire and Northern Lincolnshire,UKE,Yorkshire and The Humber,10
E06000011,00FB,East Riding of Yorkshire,UKE12,East Riding of Yorkshire,UKE1,East Yorkshire and Northern Lincolnshire,UKE,Yorkshire and The Humber,11
E06000012,00FC,North East Lincolnshire,UKE13,North and North East Lincolnshire,UKE1,East Yorkshire and Northern Lincolnshire,UKE,Yorkshire and The Humber,12
E06000013,00FD,North Lincolnshire,UKE13,North and North East Lincolnshire,UKE1,East Yorkshire and Northern Lincolnshire,UKE,Yorkshire and The Humber,13
E06000014,00FF,York,UKE21,York,UKE2,North Yorkshire,UKE,Yorkshire and The Humber,14
E06000015,00FK,Derby,UKF11,Derby,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),15
E06000016,00FN,Leicester,UKF21,Leicester,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),16
E06000017,00FP,Rutland,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),17
E06000018,00FY,Nottingham,UKF14,Nottingham,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),18
E06000019,00GA,"Herefordshire, County of",UKG11,"Herefordshire, County of",UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),19
E06000020,00GF,Telford and Wrekin,UKG21,Telford and Wrekin,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),20
E06000021,00GL,Stoke-on-Trent,UKG23,Stoke-on-Trent,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),21
E06000022,00HA,Bath and North East Somerset,UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),22
E06000023,00HB,"Bristol, City of",UKK11,"Bristol, City of",UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),23
E06000024,00HC,North Somerset,UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),24
E06000025,00HD,South Gloucestershire,UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),25
E06000026,00HG,Plymouth,UKK41,Plymouth,UKK4,Devon,UKK,South West (England),26
E06000027,00HH,Torbay,UKK42,Torbay,UKK4,Devon,UKK,South West (England),27
E06000028,00HN,Bournemouth,UKK21,Bournemouth and Poole,UKK2,Dorset and Somerset,UKK,South West (England),28
E06000029,00HP,Poole,UKK21,Bournemouth and Poole,UKK2,Dorset and Somerset,UKK,South West (England),29
E06000030,00HX,Swindon,UKK14,Swindon,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),30
E06000031,00JA,Peterborough,UKH11,Peterborough,UKH1,East Anglia,UKH,East of England,31
E06000032,00KA,Luton,UKH21,Luton,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,32
E06000033,00KF,Southend-on-Sea,UKH31,Southend-on-Sea,UKH3,Essex,UKH,East of England,33
E06000034,00KG,Thurrock,UKH32,Thurrock,UKH3,Essex,UKH,East of England,34
E06000035,00LC,Medway,UKJ41,Medway,UKJ4,Kent,UKJ,South East (England),35
E06000036,00MA,Bracknell Forest,UKJ11,Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),36
E06000037,00MB,West Berkshire,UKJ11,Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),37
E06000038,00MC,Reading,UKJ11,Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),38
E06000039,00MD,Slough,UKJ11,Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),39
E06000040,00ME,Windsor and Maidenhead,UKJ11,Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),40
E06000041,00MF,Wokingham,UKJ11,Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),41
E06000042,00MG,Milton Keynes,UKJ12,Milton Keynes,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),42
E06000043,00ML,Brighton and Hove,UKJ21,Brighton and Hove,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),43
E06000044,00MR,Portsmouth,UKJ31,Portsmouth,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),44
E06000045,00MS,Southampton,UKJ32,Southampton,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),45
E06000046,00MW,Isle of Wight,UKJ34,Isle of Wight,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),46
E06000047,00EJ,County Durham,UKC14,Durham CC,UKC1,Tees Valley and Durham,UKC,North East (England),47
E06000049,00EQ,Cheshire East,UKD62,Cheshire East,UKD6,Cheshire,UKD,North West (England),48
E06000050,00EW,Cheshire West and Chester,UKD63,Cheshire West and Chester,UKD6,Cheshire,UKD,North West (England),49
E06000051,00GG,Shropshire,UKG22,Shropshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),50
E06000052,00HE,Cornwall,UKK30,Cornwall and Isles of Scilly,UKK3,Cornwall and Isles of Scilly,UKK,South West (England),51
E06000053,00HF,Isles of Scilly,UKK30,Cornwall and Isles of Scilly,UKK3,Cornwall and Isles of Scilly,UKK,South West (England),52
E06000054,00HY,Wiltshire,UKK15,Wiltshire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),53
E06000055,00KB,Bedford,UKH24,Bedford,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,54
E06000056,00KC,Central Bedfordshire,UKH25,Central Bedfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,55
E06000057,00EM,Northumberland,UKC21,Northumberland,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),56
E07000004,11UB,Aylesbury Vale,UKJ13,Buckinghamshire CC,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),57
E07000005,11UC,Chiltern,UKJ13,Buckinghamshire CC,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),58
E07000006,11UE,South Bucks,UKJ13,Buckinghamshire CC,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),59
E07000007,11UF,Wycombe,UKJ13,Buckinghamshire CC,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),60
E07000008,12UB,Cambridge,UKH12,Cambridgeshire CC,UKH1,East Anglia,UKH,East of England,61
E07000009,12UC,East Cambridgeshire,UKH12,Cambridgeshire CC,UKH1,East Anglia,UKH,East of England,62
E07000010,12UD,Fenland,UKH12,Cambridgeshire CC,UKH1,East Anglia,UKH,East of England,63
E07000011,12UE,Huntingdonshire,UKH12,Cambridgeshire CC,UKH1,East Anglia,UKH,East of England,64
E07000012,12UG,South Cambridgeshire,UKH12,Cambridgeshire CC,UKH1,East Anglia,UKH,East of England,65
E07000026,16UB,Allerdale,UKD11,West Cumbria,UKD1,Cumbria,UKD,North West (England),66
E07000027,16UC,Barrow-in-Furness,UKD11,West Cumbria,UKD1,Cumbria,UKD,North West (England),67
E07000028,16UD,Carlisle,UKD12,East Cumbria,UKD1,Cumbria,UKD,North West (England),68
E07000029,16UE,Copeland,UKD11,West Cumbria,UKD1,Cumbria,UKD,North West (England),69
E07000030,16UF,Eden,UKD12,East Cumbria,UKD1,Cumbria,UKD,North West (England),70
E07000031,16UG,South Lakeland,UKD12,East Cumbria,UKD1,Cumbria,UKD,North West (England),71
E07000032,17UB,Amber Valley,UKF13,South and West Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),72
E07000033,17UC,Bolsover,UKF12,East Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),73
E07000034,17UD,Chesterfield,UKF12,East Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),74
E07000035,17UF,Derbyshire Dales,UKF13,South and West Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),75
E07000036,17UG,Erewash,UKF13,South and West Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),76
E07000037,17UH,High Peak,UKF13,South and West Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),77
E07000038,17UJ,North East Derbyshire,UKF12,East Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),78
E07000039,17UK,South Derbyshire,UKF13,South and West Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),79
E07000040,18UB,East Devon,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),80
E07000041,18UC,Exeter,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),81
E07000042,18UD,Mid Devon,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),82
E07000043,18UE,North Devon,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),83
E07000044,18UG,South Hams,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),84
E07000045,18UH,Teignbridge,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),85
E07000046,18UK,Torridge,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),86
E07000047,18UL,West Devon,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),87
E07000048,19UC,Christchurch,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),88
E07000049,19UD,East Dorset,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),89
E07000050,19UE,North Dorset,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),90
E07000051,19UG,Purbeck,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),91
E07000052,19UH,West Dorset,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),92
E07000053,19UJ,Weymouth and Portland,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),93
E07000061,21UC,Eastbourne,UKJ22,East Sussex CC,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),94
E07000062,21UD,Hastings,UKJ22,East Sussex CC,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),95
E07000063,21UF,Lewes,UKJ22,East Sussex CC,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),96
E07000064,21UG,Rother,UKJ22,East Sussex CC,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),97
E07000065,21UH,Wealden,UKJ22,East Sussex CC,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),98
E07000066,22UB,Basildon,UKH37,Essex Thames Gateway,UKH3,Essex,UKH,East of England,99
E07000067,22UC,Braintree,UKH34,Essex Haven Gateway,UKH3,Essex,UKH,East of England,100
E07000068,22UD,Brentwood,UKH36,Heart of Essex,UKH3,Essex,UKH,East of England,101
E07000069,22UE,Castle Point,UKH37,Essex Thames Gateway,UKH3,Essex,UKH,East of England,102
E07000070,22UF,Chelmsford,UKH36,Heart of Essex,UKH3,Essex,UKH,East of England,103
E07000071,22UG,Colchester,UKH34,Essex Haven Gateway,UKH3,Essex,UKH,East of England,104
E07000072,22UH,Epping Forest,UKH35,West Essex,UKH3,Essex,UKH,East of England,105
E07000073,22UJ,Harlow,UKH35,West Essex,UKH3,Essex,UKH,East of England,106
E07000074,22UK,Maldon,UKH36,Heart of Essex,UKH3,Essex,UKH,East of England,107
E07000075,22UL,Rochford,UKH37,Essex Thames Gateway,UKH3,Essex,UKH,East of England,108
E07000076,22UN,Tendring,UKH34,Essex Haven Gateway,UKH3,Essex,UKH,East of England,109
E07000077,22UQ,Uttlesford,UKH35,West Essex,UKH3,Essex,UKH,East of England,110
E07000078,23UB,Cheltenham,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),111
E07000079,23UC,Cotswold,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),112
E07000080,23UD,Forest of Dean,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),113
E07000081,23UE,Gloucester,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),114
E07000082,23UF,Stroud,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),115
E07000083,23UG,Tewkesbury,UKK13,Gloucestershire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),116
E07000084,24UB,Basingstoke and Deane,UKJ37,North Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),117
E07000085,24UC,East Hampshire,UKJ36,Central Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),118
E07000086,24UD,Eastleigh,UKJ35,South Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),119
E07000087,24UE,Fareham,UKJ35,South Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),120
E07000088,24UF,Gosport,UKJ35,South Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),121
E07000089,24UG,Hart,UKJ37,North Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),122
E07000090,24UH,Havant,UKJ35,South Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),123
E07000091,24UJ,New Forest,UKJ36,Central Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),124
E07000092,24UL,Rushmoor,UKJ37,North Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),125
E07000093,24UN,Test Valley,UKJ36,Central Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),126
E07000094,24UP,Winchester,UKJ36,Central Hampshire,UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),127
E07000095,26UB,Broxbourne,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,128
E07000096,26UC,Dacorum,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,129
E07000098,26UE,Hertsmere,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,130
E07000099,26UF,North Hertfordshire,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,131
E07000102,26UJ,Three Rivers,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,132
E07000103,26UK,Watford,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,133
E07000105,29UB,Ashford,UKJ45,Mid Kent,UKJ4,Kent,UKJ,South East (England),134
E07000106,29UC,Canterbury,UKJ44,East Kent,UKJ4,Kent,UKJ,South East (England),135
E07000107,29UD,Dartford,UKJ43,Kent Thames Gateway,UKJ4,Kent,UKJ,South East (England),136
E07000108,29UE,Dover,UKJ44,East Kent,UKJ4,Kent,UKJ,South East (England),137
E07000109,29UG,Gravesham,UKJ43,Kent Thames Gateway,UKJ4,Kent,UKJ,South East (England),138
E07000110,29UH,Maidstone,UKJ45,Mid Kent,UKJ4,Kent,UKJ,South East (England),139
E07000111,29UK,Sevenoaks,UKJ46,West Kent,UKJ4,Kent,UKJ,South East (England),140
E07000112,29UL,Shepway,UKJ44,East Kent,UKJ4,Kent,UKJ,South East (England),141
E07000113,29UM,Swale,UKJ43,Kent Thames Gateway,UKJ4,Kent,UKJ,South East (England),142
E07000114,29UN,Thanet,UKJ44,East Kent,UKJ4,Kent,UKJ,South East (England),143
E07000115,29UP,Tonbridge and Malling,UKJ46,West Kent,UKJ4,Kent,UKJ,South East (England),144
E07000116,29UQ,Tunbridge Wells,UKJ46,West Kent,UKJ4,Kent,UKJ,South East (England),145
E07000117,30UD,Burnley,UKD46,East Lancashire,UKD4,Lancashire,UKD,North West (England),146
E07000118,30UE,Chorley,UKD47,Chorley and West Lancashire,UKD4,Lancashire,UKD,North West (England),147
E07000119,30UF,Fylde,UKD45,Mid Lancashire,UKD4,Lancashire,UKD,North West (England),148
E07000120,30UG,Hyndburn,UKD46,East Lancashire,UKD4,Lancashire,UKD,North West (England),149
E07000121,30UH,Lancaster,UKD44,Lancaster and Wyre,UKD4,Lancashire,UKD,North West (England),150
E07000122,30UJ,Pendle,UKD46,East Lancashire,UKD4,Lancashire,UKD,North West (England),151
E07000123,30UK,Preston,UKD45,Mid Lancashire,UKD4,Lancashire,UKD,North West (England),152
E07000124,30UL,Ribble Valley,UKD45,Mid Lancashire,UKD4,Lancashire,UKD,North West (England),153
E07000125,30UM,Rossendale,UKD46,East Lancashire,UKD4,Lancashire,UKD,North West (England),154
E07000126,30UN,South Ribble,UKD45,Mid Lancashire,UKD4,Lancashire,UKD,North West (England),155
E07000127,30UP,West Lancashire,UKD47,Chorley and West Lancashire,UKD4,Lancashire,UKD,North West (England),156
