,date,value
0,2020-02-15,-1.0
1,2020-02-16,2.0
2,2020-02-17,-10.0
3,2020-02-18,-6.0
4,2020-02-19,-6.0
5,2020-02-20,1.0
6,2020-02-21,-1.0
7,2020-02-22,3.0
8,2020-02-23,4.0
9,2020-02-24,0.0
10,2020-02-25,2.0
11,2020-02-26,1.0
12,2020-02-27,3.0
13,2020-02-28,1.0
14,2020-02-29,3.0
15,2020-03-01,2.0
16,2020-03-02,2.0
17,2020-03-03,1.0
18,2020-03-04,1.0
19,2020-03-05,2.0
20,2020-03-06,1.0
21,2020-03-07,1.0
22,2020-03-08,0.0
23,2020-03-09,0.0
24,2020-03-10,1.0
25,2020-03-11,0.0
26,2020-03-12,0.0
27,2020-03-13,-2.0
28,2020-03-14,-2.0
29,2020-03-15,-4.0
30,2020-03-16,-9.0
31,2020-03-17,-16.0
32,2020-03-18,-24.0
33,2020-03-19,-29.0
34,2020-03-20,-31.0
35,2020-03-21,-26.0
36,2020-03-22,-32.0
37,2020-03-23,-48.0
38,2020-03-24,-61.0
39,2020-03-25,-67.0
40,2020-03-26,-69.0
41,2020-03-27,-69.0
42,2020-03-28,-60.0
43,2020-03-29,-58.0
44,2020-03-30,-70.0
45,2020-03-31,-71.0
46,2020-04-01,-70.0
47,2020-04-02,-71.0
48,2020-04-03,-70.0
49,2020-04-04,-60.0
50,2020-04-05,-57.0
51,2020-04-06,-71.0
52,2020-04-07,-71.0
53,2020-04-08,-71.0
54,2020-04-09,-72.0
55,2020-04-10,-73.0
56,2020-04-11,-61.0
57,2020-04-12,-58.0
58,2020-04-13,-76.0
59,2020-04-14,-71.0
60,2020-04-15,-71.0
61,2020-04-16,-71.0
62,2020-04-17,-71.0
63,2020-04-18,-58.0
64,2020-04-19,-54.0
65,2020-04-20,-70.0
66,2020-04-21,-69.0
67,2020-04-22,-69.0
68,2020-04-23,-69.0
69,2020-04-24,-68.0
70,2020-04-25,-56.0
71,2020-04-26,-55.0
72,2020-04-27,-69.0
73,2020-04-28,-69.0
74,2020-04-29,-68.0
75,2020-04-30,-69.0
76,2020-05-01,-68.0
77,2020-05-02,-56.0
