,time,valueA,valueB,valueC
0,20200215,-1.0,-3.0,-32.0
1,20200216,2.0,6.0,-13.0
2,20200217,-10.0,11.0,24.0
3,20200218,-6.0,5.0,26.0
4,20200219,-6.0,2.0,9.0
5,20200220,1.0,-1.0,-1.0
6,20200221,-1.0,0.0,-10.0
7,20200222,3.0,0.0,0.0
8,20200223,4.0,3.0,4.0
9,20200224,0.0,-4.0,-33.0
10,20200225,2.0,0.0,12.0
11,20200226,1.0,2.0,-8.0
12,20200227,3.0,1.0,-1.0
13,20200228,1.0,3.0,-18.0
14,20200229,3.0,7.0,2.0
15,20200301,2.0,7.0,-15.0
16,20200302,2.0,5.0,17.0
17,20200303,1.0,1.0,14.0
18,20200304,1.0,5.0,10.0
19,20200305,2.0,-1.0,20.0
20,20200306,1.0,0.0,4.0
21,20200307,1.0,-2.0,-15.0
22,20200308,0.0,1.0,21.0
23,20200309,0.0,3.0,-2.0
24,20200310,1.0,3.0,14.0
25,20200311,0.0,0.0,-8.0
26,20200312,0.0,-5.0,-7.0
27,20200313,-2.0,-4.0,-8.0
28,20200314,-2.0,-13.0,-34.0
29,20200315,-4.0,-8.0,-22.0
30,20200316,-9.0,-6.0,-14.0
31,20200317,-16.0,-18.0,-10.0
32,20200318,-24.0,-24.0,-4.0
33,20200319,-29.0,-28.0,1.0
34,20200320,-31.0,-35.0,-9.0
35,20200321,-26.0,-57.0,-12.0
36,20200322,-32.0,-60.0,-6.0
37,20200323,-48.0,-53.0,-32.0
38,20200324,-61.0,-75.0,-30.0
39,20200325,-67.0,-78.0,-25.0
40,20200326,-69.0,-80.0,-16.0
41,20200327,-69.0,-80.0,-28.0
42,20200328,-60.0,-87.0,-55.0
43,20200329,-58.0,-86.0,-46.0
44,20200330,-70.0,-77.0,-15.0
45,20200331,-71.0,-79.0,-30.0
46,20200401,-70.0,-79.0,-27.0
47,20200402,-71.0,-81.0,-33.0
48,20200403,-70.0,-80.0,-33.0
49,20200404,-60.0,-86.0,-30.0
50,20200405,-57.0,-84.0,-39.0
51,20200406,-71.0,-78.0,-20.0
52,20200407,-71.0,-79.0,-9.0
53,20200408,-71.0,-80.0,-32.0
54,20200409,-72.0,-80.0,-19.0
55,20200410,-73.0,-80.0,-28.0
56,20200411,-61.0,-85.0,-2.0
57,20200412,-58.0,-87.0,-46.0
58,20200413,-76.0,-82.0,-20.0
59,20200414,-71.0,-79.0,-9.0
60,20200415,-71.0,-78.0,9.0
61,20200416,-71.0,-80.0,-16.0
62,20200417,-71.0,-80.0,-6.0
63,20200418,-58.0,-86.0,-4.0
64,20200419,-54.0,-84.0,12.0
65,20200420,-70.0,-78.0,32.0
66,20200421,-69.0,-79.0,33.0
67,20200422,-69.0,-80.0,15.0
68,20200423,-69.0,-81.0,42.0
69,20200424,-68.0,-81.0,-7.0
70,20200425,-56.0,-85.0,-7.0
71,20200426,-55.0,-84.0,-28.0
72,20200427,-69.0,-80.0,-13.0
73,20200428,-69.0,-80.0,8.0
74,20200429,-68.0,-80.0,10.0
75,20200430,-69.0,-79.0,1.0
76,20200501,-68.0,-79.0,5.0
77,20200502,-56.0,-84.0,-18.0
