,date,value
0,2020-03-26,20
1,2020-03-27,23
2,2020-03-28,30
3,2020-03-29,31
4,2020-03-30,41
5,2020-03-31,52
6,2020-04-01,34
7,2020-04-02,65
8,2020-04-03,76
9,2020-04-04,84
10,2020-04-05,87
11,2020-04-06,95
12,2020-04-07,89
13,2020-04-08,96
14,2020-04-09,100
15,2020-04-10,94
16,2020-04-11,97
17,2020-04-12,99
18,2020-04-13,101
19,2020-04-14,102
20,2020-04-15,92
21,2020-04-16,96
22,2020-04-17,98
23,2020-04-18,91
24,2020-04-19,105
25,2020-04-20,105
26,2020-04-21,102
27,2020-04-22,100
28,2020-04-23,113
29,2020-04-24,110
30,2020-04-25,111
31,2020-04-26,113
32,2020-04-27,109
33,2020-04-28,113
34,2020-04-29,114
35,2020-04-30,103
36,2020-05-01,100
37,2020-05-02,100
38,2020-05-03,100
39,2020-05-04,100
40,2020-05-05,89
41,2020-05-06,90
42,2020-05-07,86
43,2020-05-08,88
44,2020-05-09,84
45,2020-05-10,82
